Time,Indoor Temp,Weather Temp,CO2,Relative Humidity,Lighting,Rain,Sun,Wind,Sunlight(West),Sunlight(East),Sunlight(South),Sun Irradiance,Outdoor Temp,Outdoor Relative Humidity
1830,22.2627,17.3333,209.984,43.6133,11.622,0.0,111.133,1.11733,0.0,0.0,0.0,-3.64267,18.7113,56.8587
1845,22.156,16.0,210.101,44.5493,11.23,0.0,3.772,0.821333,0.0,0.0,0.0,-3.708,18.4533,58.408
1900,22.044,16.0,210.304,45.2853,11.426,0.0,0.738,0.563333,0.0,0.0,0.0,-3.77333,18.2053,59.5707
1915,21.92,16.0,209.835,45.816,11.6053,0.0,0.65,0.08,0.0,0.0,0.0,-3.77333,17.9927,60.184
1930,21.82,16.0,210.581,46.2747,11.328,0.0,0.65,0.052,0.0,0.0,0.0,-3.512,17.7647,61.1787
1945,21.6973,14.5333,209.835,46.184,11.6867,0.0,0.65,0.564,0.0,0.0,0.0,-3.512,17.5673,62.488
2000,21.5627,14.0,209.728,46.9147,11.3447,0.0,0.65,0.0,0.0,0.0,0.0,-3.708,17.3913,62.7653
2015,21.4453,14.0,210.101,47.2987,11.426,0.0,0.65,0.0,0.0,0.0,0.0,-3.64267,17.2,63.056
2030,21.304,14.0,210.016,47.3067,11.6867,0.0,0.65,0.0,0.0,0.0,0.0,-3.77333,16.996,62.96
2045,21.18,14.0,210.4,45.8533,11.328,0.0,0.65,0.48,0.0,0.0,0.0,-3.57733,16.8393,64.6267
2100,21.04,12.5333,210.507,45.2,11.524,0.0,0.65,0.783333,0.0,0.0,0.0,-3.77333,16.684,65.1147
2115,20.8987,12.0,211.072,44.824,11.6867,0.0,0.65,0.986667,0.0,0.0,0.0,-3.708,16.514,65.7627
2130,20.7747,12.0,211.264,44.8347,11.426,0.0,0.65,0.576,0.0,0.0,0.0,-3.708,16.3467,65.6587
2145,20.652,12.0,212.085,45.8827,11.6867,0.0,0.65,0.218,0.0,0.0,0.0,-3.25067,16.166,65.2187
2200,20.532,12.0,212.384,46.352,11.6053,0.0,0.65,0.0386667,0.0,0.0,0.0,-3.316,16.0053,65.2773
2215,20.4067,12.0,211.733,46.5333,11.426,0.0,0.65,0.0,0.0,0.0,0.0,-3.57733,15.8253,65.1707
2230,20.264,12.0,212.235,45.9653,11.6053,0.0,0.65,0.0,0.0,0.0,0.0,-3.57733,15.6493,65.072
2245,20.136,11.4667,212.064,45.736,11.426,0.0,0.65,0.0,0.0,0.0,0.0,-3.57733,15.4293,64.3813
2300,20.0227,11.0,212.32,44.936,11.524,0.0,0.65,0.0,0.0,0.0,0.0,-3.512,15.0953,63.3573
2315,19.866,10.0667,212.651,44.2427,11.6867,0.0,0.65,0.0,0.0,0.0,0.0,-3.18533,14.9067,64.584
2330,19.7607,9.66667,212.96,43.3253,11.6053,0.0,0.65,0.0,0.0,0.0,0.0,-3.38133,14.7893,64.9653
2345,19.8147,9.0,213.205,41.4853,11.7033,0.0,0.65,0.0,0.0,0.0,0.0,-3.25067,14.66,64.7307
0,19.8147,9.0,212.683,41.104,11.4427,0.0,0.65,0.0,0.0,0.0,0.0,-3.38133,14.4187,64.304
15,19.7553,9.0,212.907,40.976,11.4427,0.0,0.65,0.0,0.0,0.0,0.0,-3.38133,14.208,63.7627
30,19.6867,9.0,213.845,40.896,11.6867,0.0,0.65,0.0,0.0,0.0,0.0,-3.316,13.9453,63.152
45,19.5833,9.0,214.667,40.816,11.6053,0.0,0.65,0.036,0.0,0.0,0.0,-3.38133,13.6507,62.3547
100,19.482,8.66667,215.915,40.7413,11.524,0.0,0.65,0.426,0.0,0.0,0.0,-3.25067,13.3473,61.8907
115,19.3353,8.0,216.821,40.7107,11.7033,0.0,0.65,1.09733,0.0,0.0,0.0,-3.25067,13.1267,61.864
130,19.2267,8.0,216.715,40.66,11.6053,0.0,1.354,0.420667,0.0,0.0,0.0,-3.25067,12.918,65.3653
145,19.1367,8.53333,215.851,40.596,11.7033,0.0,1.926,0.326,0.0,0.0,0.0,-3.042,12.76,68.5467
200,19.05,9.0,214.56,40.5893,11.524,0.0,1.926,0.036,0.0,0.0,0.0,-3.12,12.668,69.3893
215,18.9727,8.06667,213.312,40.5733,11.524,0.0,1.794,0.0,0.0,0.0,0.0,-3.12,12.6267,69.824
230,18.8867,8.0,212.075,40.592,11.524,0.0,1.618,0.0386667,0.0,0.0,0.0,-3.25067,12.6133,69.8427
245,18.8027,7.86667,212.224,40.64,11.6867,0.0,1.618,0.529333,0.0,0.0,0.0,-3.18533,12.6033,70.5147
300,18.7287,7.33333,211.701,40.656,11.7847,0.0,1.838,0.106,0.0,0.0,0.0,-3.18533,12.5907,70.3573
315,18.6713,8.0,211.659,40.68,11.6053,0.0,1.838,0.0,0.0,0.0,0.0,-3.18533,12.5907,70.4267
330,18.6047,7.6,210.923,40.712,11.6867,0.0,1.662,0.182,0.0,0.0,0.0,-3.25067,12.5933,70.8453
345,18.5513,6.0,210.987,40.748,11.7847,0.0,1.442,0.163333,0.0,0.0,0.0,-3.38133,12.59,70.4533
400,18.5067,6.06667,211.968,40.848,11.4427,0.0,1.31,0.108667,0.0,0.0,0.0,-3.38133,12.5873,70.7333
415,18.4533,6.8,212.064,40.92,11.6867,0.0,1.31,0.0,0.0,0.0,0.0,-3.18533,12.5967,70.4453
430,18.4007,6.53333,212.576,41.0053,11.6867,0.0,1.31,0.0,0.0,0.0,0.0,-3.18533,12.6067,70.712
445,18.3567,6.0,212.245,41.048,11.768,0.0,1.31,0.0,0.0,0.0,0.0,-3.25067,12.6367,70.5333
500,18.33,5.46667,211.904,41.1387,11.6867,0.0,1.354,0.209333,0.0,0.0,0.0,-3.18533,12.668,70.8507
515,18.2827,5.0,211.883,41.2027,11.72,0.0,1.31,0.226,0.0,0.0,0.0,-3.38133,12.638,71.7493
530,18.2267,5.53333,211.008,41.232,11.5887,0.0,1.178,0.0,0.0,0.0,0.0,-3.12,12.522,71.92
545,18.1393,6.0,211.211,41.288,11.7033,0.0,2.49733,0.222,0.0,0.0,0.0,-3.316,12.3907,71.6027
600,18.068,5.66667,211.584,41.392,11.4427,0.0,81.974,0.0,0.0,0.0,0.0,-3.12,12.2227,71.28
615,18.0233,5.0,211.584,41.408,11.622,0.0,521.365,0.0,0.0,0.0,0.0,-2.6,12.0147,70.9653
630,17.956,5.0,212.149,41.4213,11.524,0.0,611.2,0.0,250.88,2100.22,852.992,6.12933,11.7967,70.4773
645,17.8847,4.86667,211.936,41.4347,21.0847,0.0,612.395,0.0,4609.02,27496.1,8249.34,41.1607,11.5727,70.1413
700,17.83,4.0,213.707,41.4213,20.9853,0.0,613.888,0.036,8350.72,46123.7,17544.5,83.4,11.4327,69.5067
715,17.7513,4.0,216.117,41.4053,21.3927,0.0,615.552,0.135333,10099.4,57300.3,26880.7,129.36,11.3953,69.0933
730,17.7287,4.0,217.141,41.4933,21.2467,0.0,617.067,0.044,11739.1,66830.3,37765.1,176.256,11.4167,68.5787
745,17.7133,5.46667,217.813,41.5413,21.5067,0.0,618.005,0.134667,12785.0,69779.5,44739.2,224.896,11.508,68.2907
800,17.7133,6.0,218.72,41.528,21.1487,0.0,618.645,0.202667,13839.7,73542.3,52985.9,270.869,11.6473,68.1093
815,17.708,6.53333,218.763,41.6453,22.548,0.0,619.072,0.274667,14814.5,76114.6,60964.9,324.117,11.7813,67.4933
830,17.596,7.0,218.4,42.0,31.208,0.0,619.413,0.736667,15773.7,76567.9,67777.9,374.293,11.93,66.8533
845,17.5847,8.33333,218.624,42.088,38.248,0.0,619.499,1.09467,17444.9,76895.6,73719.8,421.973,12.142,65.648
900,17.622,9.4,218.347,42.2347,41.3373,0.0,620.053,0.828,18720.1,76996.6,78736.0,465.877,12.3787,65.1947
915,17.704,12.0,218.528,42.3227,46.144,0.0,620.565,0.918667,17802.6,78946.3,84314.8,509.952,12.644,64.7307
930,17.82,12.0,218.987,42.3813,50.7707,0.0,621.12,0.663333,16547.8,74918.6,85955.9,545.472,12.988,63.672
945,17.918,12.0,218.197,42.3973,50.952,0.0,621.035,1.51933,15938.9,69296.1,85090.3,560.405,13.3487,63.792
1000,18.0507,12.5333,217.301,42.5067,56.6067,0.0,620.224,1.15467,16104.8,55211.3,71426.0,553.493,13.6793,64.4
1015,18.222,13.0,217.408,42.5867,75.1173,0.0,621.675,1.27067,15063.7,59460.3,89893.5,642.645,14.006,64.264
1030,18.3893,13.5333,216.555,42.4907,81.4827,0.0,622.357,1.62067,13868.4,50675.7,95360.3,670.485,14.3727,64.024
1045,18.58,14.0,215.989,42.464,81.3227,0.0,622.144,1.35267,13251.2,39370.8,95316.7,700.224,14.7233,63.7493
1100,18.7587,14.0,215.093,42.416,81.76,0.0,622.4,1.58267,12836.2,29567.7,95354.9,734.891,15.002,63.4907
1115,18.962,14.9333,214.827,42.456,81.2427,0.0,622.443,1.31133,12305.1,22515.7,95344.0,755.2,15.326,63.16
1130,19.164,15.0,214.261,42.48,81.4053,0.0,622.357,1.60533,12133.0,18776.7,95354.9,765.781,15.6967,62.84
1145,19.378,15.0,214.261,42.472,81.3413,0.0,622.315,1.682,12597.9,16126.6,95354.9,758.997,16.0347,62.488
1200,19.59,15.5333,215.019,42.4933,94.9867,0.0,622.101,1.63133,14499.2,13667.0,95344.0,776.789,16.4073,62.128
1215,19.7993,16.0,214.731,42.4773,97.3973,0.0,622.315,1.81733,17859.2,12455.3,95289.3,790.059,16.7633,61.8933
1230,19.9867,16.0,214.837,42.5067,83.2453,0.0,621.376,1.88467,20833.6,11122.3,94726.8,727.467,17.0687,61.6107
1245,20.1427,16.0,215.275,42.6213,81.1627,0.0,621.461,2.14067,28001.6,10742.4,95191.0,758.784,17.32,61.2667
1300,20.324,16.3333,214.88,42.7093,81.5013,0.0,621.376,2.348,39126.4,10372.1,95185.6,780.288,17.632,60.752
1315,20.5067,17.0,214.709,42.8053,81.184,0.0,621.376,2.004,52251.3,10020.9,95191.0,771.371,17.9767,60.0293
1330,20.6693,17.0,215.008,42.9707,81.0027,0.0,621.205,2.19867,64563.9,9970.69,94399.1,741.504,18.2567,59.336
1345,20.836,17.0,214.933,43.1547,80.96,0.0,620.053,1.92667,71335.9,9683.97,87668.1,695.36,18.5607,58.936
1400,20.972,17.0,214.539,43.4373,81.264,0.0,619.669,2.75067,80011.3,9856.0,83678.5,680.917,18.848,58.5147
1415,21.0907,17.0,214.293,43.832,58.5307,0.0,619.243,2.52467,85371.6,9934.85,77398.0,649.451,19.0727,58.0613
1430,21.232,17.0,212.576,44.224,49.4,0.0,618.987,2.56867,82528.9,9698.3,66794.8,585.749,19.2747,58.0507
1445,21.3573,17.0,212.277,44.7093,46.5987,0.0,618.603,2.466,83918.8,9970.35,60536.1,558.997,19.34,58.32
1500,21.44,16.4667,211.893,45.1173,36.768,0.0,618.219,2.74533,74973.2,9275.39,49109.7,481.195,19.2907,58.6
1515,21.508,16.0,210.4,45.64,33.9387,0.0,617.92,2.25333,76346.7,9425.92,44496.2,472.363,19.1147,58.9253
1530,21.5493,16.0,208.885,45.9973,29.7427,0.0,617.792,2.498,77968.7,9232.38,38858.8,450.752,18.9587,59.2533
1545,21.5587,16.0,208.181,46.184,31.224,0.0,617.835,1.97133,87831.9,9683.97,35452.2,457.259,18.764,59.5787
1600,21.584,16.0,207.104,46.3813,22.2067,0.0,617.92,2.032,85641.9,9318.4,28164.1,406.293,18.6033,59.9013
1615,21.5627,15.2667,206.901,46.4987,20.8227,0.0,617.92,1.89933,86603.1,8924.16,22265.2,355.52,18.4393,60.2
1630,21.544,15.0,205.621,46.5173,20.4807,0.0,617.707,1.94733,80074.1,8257.54,16871.4,298.368,18.2627,60.304
