MWG,NWG,KWG,MDIMC,NDIMC,MDIMA,NDIMB,KWI,VWM,VWN,STRM,STRN,SA,SB,Time
-1,-1,0,-1,-1,-1,-1,1,0,-1,1,0,0,1,71.6425
-1,-1,0,-1,-1,-1,-1,1,0,-1,1,0,1,0,64.8075
-1,-1,0,-1,-1,-1,-1,1,0,-1,1,0,1,1,62.417500000000004
-1,-1,0,-1,-1,-1,-1,1,0,-1,1,1,0,0,71.96
-1,-1,0,-1,-1,-1,-1,1,0,-1,1,1,0,1,73.67999999999999
-1,-1,0,-1,-1,-1,-1,1,0,-1,1,1,1,0,62.9875
-1,-1,0,-1,-1,-1,-1,1,0,-1,1,1,1,1,73.605
-1,-1,0,-1,-1,-1,-1,1,0,0,0,0,0,0,58.525
-1,-1,0,-1,-1,-1,-1,1,0,0,0,0,0,1,55.62
-1,-1,0,-1,-1,-1,-1,1,0,0,0,0,1,0,52.635
-1,-1,0,-1,-1,-1,-1,1,0,0,0,0,1,1,53.505
-1,-1,0,-1,-1,-1,-1,1,0,0,0,1,0,0,58.947500000000005
-1,-1,0,-1,-1,-1,-1,1,0,0,0,1,0,1,55.8075
-1,-1,0,-1,-1,-1,-1,1,0,0,0,1,1,0,53.0375
-1,-1,0,-1,-1,-1,-1,1,0,0,0,1,1,1,54.17
-1,-1,0,-1,-1,-1,-1,1,0,0,1,0,0,0,59.02
-1,-1,0,-1,-1,-1,-1,1,0,0,1,0,0,1,56.942499999999995
-1,-1,0,-1,-1,-1,-1,1,0,0,1,0,1,0,53.13
-1,-1,0,-1,-1,-1,-1,1,0,0,1,0,1,1,53.915
-1,-1,0,-1,-1,-1,-1,1,0,0,1,1,0,0,58.635
-1,-1,0,-1,-1,-1,-1,1,0,0,1,1,0,1,56.847500000000004
-1,-1,0,-1,-1,-1,-1,1,0,0,1,1,1,0,53.002500000000005
-1,-1,0,-1,-1,-1,-1,1,0,0,1,1,1,1,53.855
-1,-1,0,-1,-1,-1,0,0,-1,-1,0,0,0,0,115.6275
-1,-1,0,-1,-1,-1,0,0,-1,-1,0,0,0,1,72.07249999999999
-1,-1,0,-1,-1,-1,0,0,-1,-1,0,0,1,0,80.5975
-1,-1,0,-1,-1,-1,0,0,-1,-1,0,0,1,1,72.6325
-1,-1,0,-1,-1,-1,0,0,-1,-1,0,1,0,0,114.535
-1,-1,0,-1,-1,-1,0,0,-1,-1,0,1,0,1,71.92999999999999
-1,-1,0,-1,-1,-1,0,0,-1,-1,0,1,1,0,83.08
-1,-1,0,-1,-1,-1,0,0,-1,-1,0,1,1,1,72.7525
-1,-1,0,-1,-1,-1,0,0,-1,-1,1,0,0,0,117.17
-1,-1,0,-1,-1,-1,0,0,-1,-1,1,0,0,1,79.91749999999999
-1,-1,0,-1,-1,-1,0,0,-1,-1,1,0,1,0,84.51499999999999
-1,-1,0,-1,-1,-1,0,0,-1,-1,1,0,1,1,80.4275
-1,-1,0,-1,-1,-1,0,0,-1,-1,1,1,0,0,118.405
-1,-1,0,-1,-1,-1,0,0,-1,-1,1,1,0,1,79.82
-1,-1,0,-1,-1,-1,0,0,-1,-1,1,1,1,0,86.505
-1,-1,0,-1,-1,-1,0,0,-1,-1,1,1,1,1,80.50250000000001
-1,-1,0,-1,-1,-1,0,0,0,-1,0,0,0,0,73.28250000000001
-1,-1,0,-1,-1,-1,0,0,0,-1,0,0,0,1,68.1575
-1,-1,0,-1,-1,-1,0,0,0,-1,0,0,1,0,62.345
-1,-1,0,-1,-1,-1,0,0,0,-1,0,0,1,1,53.5525
-1,-1,0,-1,-1,-1,0,0,0,-1,0,1,0,0,75.78999999999999
-1,-1,0,-1,-1,-1,0,0,0,-1,0,1,0,1,67.75
-1,-1,0,-1,-1,-1,0,0,0,-1,0,1,1,0,64.58
-1,-1,0,-1,-1,-1,0,0,0,-1,0,1,1,1,57.11
-1,-1,0,-1,-1,-1,0,0,0,-1,1,0,0,0,73.405
-1,-1,0,-1,-1,-1,0,0,0,-1,1,0,0,1,65.55749999999999
-1,-1,0,-1,-1,-1,0,0,0,-1,1,0,1,0,62.7575
-1,-1,0,-1,-1,-1,0,0,0,-1,1,0,1,1,53.802499999999995
-1,-1,0,-1,-1,-1,0,0,0,-1,1,1,0,0,75.795
-1,-1,0,-1,-1,-1,0,0,0,-1,1,1,0,1,64.33999999999999
-1,-1,0,-1,-1,-1,0,0,0,-1,1,1,1,0,64.41
-1,-1,0,-1,-1,-1,0,0,0,-1,1,1,1,1,56.935
-1,-1,0,-1,-1,-1,0,1,-1,-1,0,0,0,0,89.9075
-1,-1,0,-1,-1,-1,0,1,-1,-1,0,0,0,1,73.865
-1,-1,0,-1,-1,-1,0,1,-1,-1,0,0,1,0,82.1525
-1,-1,0,-1,-1,-1,0,1,-1,-1,0,0,1,1,73.2175
-1,-1,0,-1,-1,-1,0,1,-1,-1,0,1,0,0,90.045
-1,-1,0,-1,-1,-1,0,1,-1,-1,0,1,0,1,75.3975
-1,-1,0,-1,-1,-1,0,1,-1,-1,0,1,1,0,82.37
-1,-1,0,-1,-1,-1,0,1,-1,-1,0,1,1,1,72.83
-1,-1,0,-1,-1,-1,0,1,-1,-1,1,0,0,0,92.0275
-1,-1,0,-1,-1,-1,0,1,-1,-1,1,0,0,1,81.7375
-1,-1,0,-1,-1,-1,0,1,-1,-1,1,0,1,0,85.8475
-1,-1,0,-1,-1,-1,0,1,-1,-1,1,0,1,1,80.53
-1,-1,0,-1,-1,-1,0,1,-1,-1,1,1,0,0,95.5925
-1,-1,0,-1,-1,-1,0,1,-1,-1,1,1,0,1,81.33
-1,-1,0,-1,-1,-1,0,1,-1,-1,1,1,1,0,85.6475
-1,-1,0,-1,-1,-1,0,1,-1,-1,1,1,1,1,80.57
-1,-1,0,-1,-1,-1,0,1,0,-1,0,0,0,0,71.9275
-1,-1,0,-1,-1,-1,0,1,0,-1,0,0,0,1,65.94
-1,-1,0,-1,-1,-1,0,1,0,-1,0,0,1,0,64.72999999999999
-1,-1,0,-1,-1,-1,0,1,0,-1,0,0,1,1,53.5125
-1,-1,0,-1,-1,-1,0,1,0,-1,0,1,0,0,71.8775
-1,-1,0,-1,-1,-1,0,1,0,-1,0,1,0,1,66.8
-1,-1,0,-1,-1,-1,0,1,0,-1,0,1,1,0,63.042500000000004
-1,-1,0,-1,-1,-1,0,1,0,-1,0,1,1,1,57.045
-1,-1,0,-1,-1,-1,0,1,0,-1,1,0,0,0,71.8925
-1,-1,0,-1,-1,-1,0,1,0,-1,1,0,0,1,64.845
-1,-1,0,-1,-1,-1,0,1,0,-1,1,0,1,0,64.3325
-1,-1,0,-1,-1,-1,0,1,0,-1,1,0,1,1,53.2275
-1,-1,0,-1,-1,-1,0,1,0,-1,1,1,0,0,71.5275
-1,-1,0,-1,-1,-1,0,1,0,-1,1,1,0,1,67.74
-1,-1,0,-1,-1,-1,0,1,0,-1,1,1,1,0,62.86750000000001
-1,-1,0,-1,-1,-1,0,1,0,-1,1,1,1,1,57.0075
-1,-1,0,-1,-1,0,-1,0,-1,-1,0,0,0,0,115.87
-1,-1,0,-1,-1,0,-1,0,-1,-1,0,0,0,1,79.195
-1,-1,0,-1,-1,0,-1,0,-1,-1,0,0,1,0,73.025
-1,-1,0,-1,-1,0,-1,0,-1,-1,0,0,1,1,75.83
-1,-1,0,-1,-1,0,-1,0,-1,-1,0,1,0,0,114.69
-1,-1,0,-1,-1,0,-1,0,-1,-1,0,1,0,1,81.9225
-1,-1,0,-1,-1,0,-1,0,-1,-1,0,1,1,0,74.7325
-1,-1,0,-1,-1,0,-1,0,-1,-1,0,1,1,1,83.3225
-1,-1,0,-1,-1,0,-1,0,-1,-1,1,0,0,0,117.59750000000001
-1,-1,0,-1,-1,0,-1,0,-1,-1,1,0,0,1,86.5975
-1,-1,0,-1,-1,0,-1,0,-1,-1,1,0,1,0,72.795
-1,-1,0,-1,-1,0,-1,0,-1,-1,1,0,1,1,74.36
-1,-1,0,-1,-1,0,-1,0,-1,-1,1,1,0,0,118.0925
-1,-1,0,-1,-1,0,-1,0,-1,-1,1,1,0,1,93.42
-1,-1,0,-1,-1,0,-1,0,-1,-1,1,1,1,0,74.47749999999999
-1,-1,0,-1,-1,0,-1,0,-1,-1,1,1,1,1,82.0625
-1,-1,0,-1,-1,0,-1,0,-1,0,0,0,0,0,77.53500000000001
-1,-1,0,-1,-1,0,-1,0,-1,0,0,0,0,1,65.7325
-1,-1,0,-1,-1,0,-1,0,-1,0,0,0,1,0,66.10499999999999
-1,-1,0,-1,-1,0,-1,0,-1,0,0,0,1,1,58.8775
-1,-1,0,-1,-1,0,-1,0,-1,0,0,1,0,0,78.11
-1,-1,0,-1,-1,0,-1,0,-1,0,0,1,0,1,65.7425
-1,-1,0,-1,-1,0,-1,0,-1,0,0,1,1,0,64.4475
-1,-1,0,-1,-1,0,-1,0,-1,0,0,1,1,1,58.8875
-1,-1,0,-1,-1,0,-1,0,-1,0,1,0,0,0,79.8625
-1,-1,0,-1,-1,0,-1,0,-1,0,1,0,0,1,70.295
-1,-1,0,-1,-1,0,-1,0,-1,0,1,0,1,0,69.45500000000001
-1,-1,0,-1,-1,0,-1,0,-1,0,1,0,1,1,58.06
-1,-1,0,-1,-1,0,-1,0,-1,0,1,1,0,0,79.77250000000001
-1,-1,0,-1,-1,0,-1,0,-1,0,1,1,0,1,70.6375
-1,-1,0,-1,-1,0,-1,0,-1,0,1,1,1,0,65.77250000000001
-1,-1,0,-1,-1,0,-1,0,-1,0,1,1,1,1,59.24
-1,-1,0,-1,-1,0,-1,1,-1,-1,0,0,0,0,91.4375
-1,-1,0,-1,-1,0,-1,1,-1,-1,0,0,0,1,81.97749999999999
-1,-1,0,-1,-1,0,-1,1,-1,-1,0,0,1,0,75.325
-1,-1,0,-1,-1,0,-1,1,-1,-1,0,0,1,1,77.11500000000001
-1,-1,0,-1,-1,0,-1,1,-1,-1,0,1,0,0,91.6275
-1,-1,0,-1,-1,0,-1,1,-1,-1,0,1,0,1,84.89500000000001
-1,-1,0,-1,-1,0,-1,1,-1,-1,0,1,1,0,76.75
-1,-1,0,-1,-1,0,-1,1,-1,-1,0,1,1,1,83.94250000000001
-1,-1,0,-1,-1,0,-1,1,-1,-1,1,0,0,0,94.80000000000001
-1,-1,0,-1,-1,0,-1,1,-1,-1,1,0,0,1,88.8275
-1,-1,0,-1,-1,0,-1,1,-1,-1,1,0,1,0,77.27000000000001
-1,-1,0,-1,-1,0,-1,1,-1,-1,1,0,1,1,75.4275
-1,-1,0,-1,-1,0,-1,1,-1,-1,1,1,0,0,96.625
-1,-1,0,-1,-1,0,-1,1,-1,-1,1,1,0,1,94.73
-1,-1,0,-1,-1,0,-1,1,-1,-1,1,1,1,0,75.17750000000001
-1,-1,0,-1,-1,0,-1,1,-1,-1,1,1,1,1,82.8
-1,-1,0,-1,-1,0,-1,1,-1,0,0,0,0,0,73.005
-1,-1,0,-1,-1,0,-1,1,-1,0,0,0,0,1,66.4025
-1,-1,0,-1,-1,0,-1,1,-1,0,0,0,1,0,66.715
-1,-1,0,-1,-1,0,-1,1,-1,0,0,0,1,1,58.735
-1,-1,0,-1,-1,0,-1,1,-1,0,0,1,0,0,73.55000000000001
-1,-1,0,-1,-1,0,-1,1,-1,0,0,1,0,1,66.4875
-1,-1,0,-1,-1,0,-1,1,-1,0,0,1,1,0,66.6475
-1,-1,0,-1,-1,0,-1,1,-1,0,0,1,1,1,58.464999999999996
-1,-1,0,-1,-1,0,-1,1,-1,0,1,0,0,0,76.01
-1,-1,0,-1,-1,0,-1,1,-1,0,1,0,0,1,71.08
-1,-1,0,-1,-1,0,-1,1,-1,0,1,0,1,0,69.785
-1,-1,0,-1,-1,0,-1,1,-1,0,1,0,1,1,58.662499999999994
-1,-1,0,-1,-1,0,-1,1,-1,0,1,1,0,0,75.80250000000001
-1,-1,0,-1,-1,0,-1,1,-1,0,1,1,0,1,70.52499999999999
-1,-1,0,-1,-1,0,-1,1,-1,0,1,1,1,0,68.465
-1,-1,0,-1,-1,0,-1,1,-1,0,1,1,1,1,58.8025
-1,-1,0,-1,-1,0,0,0,-1,-1,0,0,0,0,116.4025
-1,-1,0,-1,-1,0,0,0,-1,-1,0,0,0,1,72.20250000000001
-1,-1,0,-1,-1,0,0,0,-1,-1,0,0,1,0,72.675
-1,-1,0,-1,-1,0,0,0,-1,-1,0,0,1,1,66.13
-1,-1,0,-1,-1,0,0,0,-1,-1,0,1,0,0,114.33250000000001
-1,-1,0,-1,-1,0,0,0,-1,-1,0,1,0,1,72.41499999999999
-1,-1,0,-1,-1,0,0,0,-1,-1,0,1,1,0,74.86
-1,-1,0,-1,-1,0,0,0,-1,-1,0,1,1,1,67.08
-1,-1,0,-1,-1,0,0,0,-1,-1,1,0,0,0,117.73
-1,-1,0,-1,-1,0,0,0,-1,-1,1,0,0,1,79.3025
-1,-1,0,-1,-1,0,0,0,-1,-1,1,0,1,0,72.62
-1,-1,0,-1,-1,0,0,0,-1,-1,1,0,1,1,66.94749999999999
-1,-1,0,-1,-1,0,0,0,-1,-1,1,1,0,0,118.9725
-1,-1,0,-1,-1,0,0,0,-1,-1,1,1,0,1,79.42750000000001
-1,-1,0,-1,-1,0,0,0,-1,-1,1,1,1,0,74.5175
-1,-1,0,-1,-1,0,0,0,-1,-1,1,1,1,1,66.8475
-1,-1,0,-1,-1,0,0,1,-1,-1,0,0,0,0,89.7175
-1,-1,0,-1,-1,0,0,1,-1,-1,0,0,0,1,74.185
-1,-1,0,-1,-1,0,0,1,-1,-1,0,0,1,0,74.04750000000001
-1,-1,0,-1,-1,0,0,1,-1,-1,0,0,1,1,66.2675
-1,-1,0,-1,-1,0,0,1,-1,-1,0,1,0,0,89.77
-1,-1,0,-1,-1,0,0,1,-1,-1,0,1,0,1,75.4275
-1,-1,0,-1,-1,0,0,1,-1,-1,0,1,1,0,74.6725
-1,-1,0,-1,-1,0,0,1,-1,-1,0,1,1,1,66.4675
-1,-1,0,-1,-1,0,0,1,-1,-1,1,0,0,0,92.615
-1,-1,0,-1,-1,0,0,1,-1,-1,1,0,0,1,82.74000000000001
-1,-1,0,-1,-1,0,0,1,-1,-1,1,0,1,0,75.9525
-1,-1,0,-1,-1,0,0,1,-1,-1,1,0,1,1,66.49
-1,-1,0,-1,-1,0,0,1,-1,-1,1,1,0,0,95.605
-1,-1,0,-1,-1,0,0,1,-1,-1,1,1,0,1,81.89750000000001
-1,-1,0,-1,-1,0,0,1,-1,-1,1,1,1,0,74.95
-1,-1,0,-1,-1,0,0,1,-1,-1,1,1,1,1,66.6875
-1,-1,0,-1,0,-1,-1,0,-1,-1,0,0,0,0,131.04
-1,-1,0,-1,0,-1,-1,0,-1,-1,0,0,0,1,118.1575
-1,-1,0,-1,0,-1,-1,0,-1,-1,0,0,1,0,94.81500000000001
-1,-1,0,-1,0,-1,-1,0,-1,-1,0,0,1,1,93.4825
-1,-1,0,-1,0,-1,-1,0,-1,-1,0,1,0,0,131.09
-1,-1,0,-1,0,-1,-1,0,-1,-1,0,1,0,1,119.7875
-1,-1,0,-1,0,-1,-1,0,-1,-1,0,1,1,0,94.8675
-1,-1,0,-1,0,-1,-1,0,-1,-1,0,1,1,1,96.475
-1,-1,0,-1,0,-1,-1,0,-1,-1,1,0,0,0,138.835
-1,-1,0,-1,0,-1,-1,0,-1,-1,1,0,0,1,124.125
-1,-1,0,-1,0,-1,-1,0,-1,-1,1,0,1,0,95.2075
-1,-1,0,-1,0,-1,-1,0,-1,-1,1,0,1,1,96.1925
-1,-1,0,-1,0,-1,-1,0,-1,-1,1,1,0,0,138.76500000000001
-1,-1,0,-1,0,-1,-1,0,-1,-1,1,1,0,1,126.0775
-1,-1,0,-1,0,-1,-1,0,-1,-1,1,1,1,0,95.2175
-1,-1,0,-1,0,-1,-1,0,-1,-1,1,1,1,1,104.23
-1,-1,0,-1,0,-1,-1,0,0,-1,0,0,0,0,112.035
-1,-1,0,-1,0,-1,-1,0,0,-1,0,0,0,1,94.7675
-1,-1,0,-1,0,-1,-1,0,0,-1,0,0,1,0,70.71
-1,-1,0,-1,0,-1,-1,0,0,-1,0,0,1,1,68.0675
-1,-1,0,-1,0,-1,-1,0,0,-1,0,1,0,0,112.00999999999999
-1,-1,0,-1,0,-1,-1,0,0,-1,0,1,0,1,95.97749999999999
-1,-1,0,-1,0,-1,-1,0,0,-1,0,1,1,0,70.66499999999999
-1,-1,0,-1,0,-1,-1,0,0,-1,0,1,1,1,70.63
-1,-1,0,-1,0,-1,-1,0,0,-1,1,0,0,0,112.03
-1,-1,0,-1,0,-1,-1,0,0,-1,1,0,0,1,94.3225
-1,-1,0,-1,0,-1,-1,0,0,-1,1,0,1,0,70.69
-1,-1,0,-1,0,-1,-1,0,0,-1,1,0,1,1,68.055
-1,-1,0,-1,0,-1,-1,0,0,-1,1,1,0,0,112.1825
-1,-1,0,-1,0,-1,-1,0,0,-1,1,1,0,1,96.42
-1,-1,0,-1,0,-1,-1,0,0,-1,1,1,1,0,70.71999999999998
-1,-1,0,-1,0,-1,-1,0,0,-1,1,1,1,1,70.59
-1,-1,0,-1,0,-1,-1,1,-1,-1,0,0,0,0,135.36249999999998
-1,-1,0,-1,0,-1,-1,1,-1,-1,0,0,0,1,118.19
-1,-1,0,-1,0,-1,-1,1,-1,-1,0,0,1,0,94.80250000000001
-1,-1,0,-1,0,-1,-1,1,-1,-1,0,0,1,1,93.6525
-1,-1,0,-1,0,-1,-1,1,-1,-1,0,1,0,0,135.42000000000002
-1,-1,0,-1,0,-1,-1,1,-1,-1,0,1,0,1,119.8
-1,-1,0,-1,0,-1,-1,1,-1,-1,0,1,1,0,94.58500000000001
-1,-1,0,-1,0,-1,-1,1,-1,-1,0,1,1,1,96.495
-1,-1,0,-1,0,-1,-1,1,-1,-1,1,0,0,0,140.91750000000002
-1,-1,0,-1,0,-1,-1,1,-1,-1,1,0,0,1,124.1125
-1,-1,0,-1,0,-1,-1,1,-1,-1,1,0,1,0,95.2025
-1,-1,0,-1,0,-1,-1,1,-1,-1,1,0,1,1,96.2075
-1,-1,0,-1,0,-1,-1,1,-1,-1,1,1,0,0,140.95
-1,-1,0,-1,0,-1,-1,1,-1,-1,1,1,0,1,126.14750000000001
-1,-1,0,-1,0,-1,-1,1,-1,-1,1,1,1,0,95.2225
-1,-1,0,-1,0,-1,-1,1,-1,-1,1,1,1,1,104.09
-1,-1,0,-1,0,-1,-1,1,0,-1,0,0,0,0,109.105
-1,-1,0,-1,0,-1,-1,1,0,-1,0,0,0,1,94.445
-1,-1,0,-1,0,-1,-1,1,0,-1,0,0,1,0,69.5575
-1,-1,0,-1,0,-1,-1,1,0,-1,0,0,1,1,68.04750000000001
-1,-1,0,-1,0,-1,-1,1,0,-1,0,1,0,0,109.2275
-1,-1,0,-1,0,-1,-1,1,0,-1,0,1,0,1,94.4075
-1,-1,0,-1,0,-1,-1,1,0,-1,0,1,1,0,69.55
-1,-1,0,-1,0,-1,-1,1,0,-1,0,1,1,1,70.6125
-1,-1,0,-1,0,-1,-1,1,0,-1,1,0,0,0,109.22
-1,-1,0,-1,0,-1,-1,1,0,-1,1,0,0,1,94.17500000000001
